name,drug_type,drug.standard_dose,drug.dose_frequency,drug.max_dose,drug.administration_route,drug.drug_use,drug.adverse_effects,drug.contraindications
Hidrocortisona,Corticosteroide,Sustitutivo: 15-30 mg/día. Antiinflamatorio (oral/IV/IM): 100-500 mg o más. Tópico: aplicar capa fina,Oral: 2-3 tomas. IV/IM: cada 2-6h. Tópico: 1-4 veces/día,Sistémico: hasta 1-1.5 g/día (crisis graves); Tópico: limitar área/duración,Oral IV IM Tópica Rectal,"Insuf. adrenal, shock, enf. inflamatorias/alérgicas/autoinmunes; Tópico: dermatitis, eccema","Sistémico: Cushing, hiperglucemia, HTA, osteoporosis, riesgo infección; Tópico: atrofia, estrías","Hipersensibilidad, infecciones fúngicas sistémicas (no tratadas); Tópico: infecciones cutáneas no tratadas"
Metilprednisolona,Corticosteroide,Oral: 4-48 mg/día. IV/IM: 10-250 mg,Oral: 1 o más. IV/IM: variable,Oral: 100-120 mg/día; Pulsos IV: 1 g/día,Oral IV IM Intraarticular,"Enf. inflamatorias/alérgicas/autoinmunes, exacerbaciones asma/EPOC, brotes EM, cáncer","Similares a hidrocortisona sistémica: Cushing, hiperglucemia, miopatía, alteraciones psíquicas","Hipersensibilidad, infecciones fúngicas sistémicas (no tratadas), vacunas vivas (con dosis inmunosupresoras)"
Prednisolona,Corticosteroide,Oral: 5-60 mg/día. IV: 5-60mg/día. Oftálmico: 1-2 gotas.,Oral: 1 o varias tomas. Oftálmico: cada 1-4h inicialmente.,Oral: hasta 2 mg/kg/día o 100 mg/día,Oral IV Oftálmica Tópica,"Enf. inflamatorias/alérgicas/autoinmunes, asma, algunos cánceres, enf. oftálmicas inflamatorias","Similares a hidrocortisona sistémica. Oftálmico: aumento PIO, cataratas","Hipersensibilidad, infecciones fúngicas sistémicas (no tratadas); Oftálmico: infecciones oculares virales/fúngicas agudas"
Acarbosa,Antidiabético / Inhibidor Alfa-glucosidasa,Inicial: 25-50 mg; Mantenimiento: 50-200 mg,Tres veces al día (con comida),600 mg/día,Oral,Diabetes mellitus tipo 2,"Flatulencia, diarrea, dolor abdominal, elevación transaminasas","Hipersensibilidad, EII, úlceras colónicas, obstrucción intestinal, I.H. grave, I.R. grave (ClCr <25 mL/min), embarazo, lactancia"
Aceclofenaco,Antiinflamatorio No Esteroideo (AINE),100 mg,12/horas,200 mg/día,Oral Tópica,"Dolor e inflamación (artritis reumatoide, osteoartritis, espondilitis anquilosante), dolor agudo","Dispepsia, dolor abdominal, náuseas, diarrea, úlcera GI, sangrado, perforación","Hipersensibilidad a AINEs, úlcera péptica/hemorragia GI activa o reciente, I.H./I.R. grave, IC grave, último trimestre embarazo"
Acetato de Ciproterona,Antiandrógeno Progestágeno,Mujeres (con etinilestradiol): 2 mg/día; Hirsutismo severo: 10-50 mg/día. Hombres (Ca próstata): 200-300 mg/día.,1-3 veces/día,Ca Próstata: 300 mg/día; Hirsutismo: 100 mg/día,Oral,"Hirsutismo, acné severo, alopecia androgénica (mujeres); Ca próstata avanzado (paliativo)","Disminución libido, disfunción eréctil (hombres), fatiga, ginecomastia, hepatotoxicidad, tromboembolismo","Hipersensibilidad, enf. hepática grave (no metastásica), ictericia/prurito en embarazo previo, meningioma, depresión severa, trombosis"
Acetato de Medroxiprogesterona,Progestágeno,Oral: 2.5-10 mg/día (TRH/sangrado). IM (anticonceptivo): 150 mg cada 3 meses. IM (oncología): 400-1000 mg/semana.,Oral: diario. IM: cada 3 meses o semanal,Anticonceptivo: 150mg/13sem; Oncología: 1000mg/sem,Oral IM,"Anticoncepción, endometriosis, sangrado uterino anormal, TRH (con estrógeno), Ca endometrio/mama/renal (paliativo)","Sangrado irregular, amenorrea, aumento peso, cefalea, acné, disminución densidad ósea (IM prolongado)","Hipersensibilidad, embarazo, tromboflebitis/tromboembolismo activo, enf. hepática grave, sangrado vaginal no diagnosticado, Ca mama"
Ácido Alendrónico,Bifosfonato,Osteoporosis: 10 mg/día o 70 mg/semana. Enf. Paget: 40 mg/día x 6 meses.,1/día o 1/semana,70 mg/semana (osteoporosis); 40 mg/día (Paget),Oral (en ayunas),"Osteoporosis, Enfermedad de Paget ósea","Dolor abdominal, dispepsia, náuseas, irritación esofágica, dolor musculoesquelético, osteonecrosis mandibular (raro)","Hipersensibilidad, anormalidades esofágicas (estenosis, acalasia), incapacidad estar erguido ≥30 min, hipocalcemia, I.R. grave (ClCr <35 mL/min)"
Ácido Ascórbico (Vitamina C),Vitamina hidrosoluble,Prevención deficiencia: 75-120 mg/día. Tratamiento escorbuto: 100-500 mg/día.,1-3 veces al día,2000 mg/día,Oral IV IM,"Prevención/tratamiento escorbuto, antioxidante, acidificación orina","Diarrea, náuseas, cólicos, cálculos renales oxalato, interferencia pruebas glucosa","Hipersensibilidad, hemocromatosis (precaución con dosis altas crónicas)"
Ácido Ibandrónico,Bifosfonato,Oral: 150 mg/mes. IV: 3mg / 3meses,Una vez al mes (oral); cada 3 meses (IV),Oral: 150 mg/mes; IV: 3 mg/3 meses,Oral IV,Osteoporosis postmenopáusica (reducir riesgo fracturas vertebrales),"Dispepsia, dolor abdominal, síntomas gripales (IV), dolor musculoesquelético, esofagitis (oral), osteonecrosis mandibular (raro)","Hipersensibilidad, hipocalcemia, incapacidad estar erguido ≥60 min (oral), I.R. grave (ClCr <30 mL/min)"
Ácido Mefenámico,Antiinflamatorio No Esteroideo (AINE),250-500 mg,Cada 6-8 horas,1500 mg/día,Oral,Dolor leve-moderado-dismenorrea,"Dispepsia, diarrea, náuseas, dolor abdominal, cefalea, riesgo sangrado GI, nefrotoxicidad","Hipersensibilidad a AINEs, úlcera péptica/hemorragia GI activa, EII, I.H./I.R. grave, IC grave, último trimestre embarazo"
Ácido Ursodesoxicólico,Colagogo Hepatoprotector,Disolución cálculos: 8-10 mg/kg/día. CBP: 13-15 mg/kg/día.,2-3 tomas (cálculos); 1-2 tomas (CBP),20 mg/kg/día,Oral,"Disolución cálculos biliares colesterol (vesícula funcionante), Cirrosis Biliar Primaria (CBP), colestasis intrahepática embarazo","Diarrea, heces pastosas, prurito (en CBP), náuseas, rash; raro: calcificación cálculos","Hipersensibilidad, cálculos biliares calcificados, vesícula no funcionante, enf. inflamatoria aguda vías biliares, cólicos biliares frecuentes"
Ácido Valproico,Anticonvulsivo,"Epilepsia: 10-15 mg/kg/día, hasta 60 mg/kg/día. Manía: 750 mg/día (o 20-30 mg/kg). Migraña: 500-1000 mg/día.",2-3 veces/día; 1-2 veces/día,60 mg/kg/día,Oral IV,"Epilepsia, T. Bipolar (manía), profilaxis migraña","Náuseas, vómitos, somnolencia, temblor, alopecia, aumento peso, trombocitopenia, hepatotoxicidad grave, pancreatitis, teratogenicidad","Hipersensibilidad, enf. hepática activa, trastornos ciclo urea, porfiria, embarazo (contraindicado o con precauciones estrictas), mitocondriopatías"
Adrenalina (Epinefrina),Simpaticomimético,"Anafilaxia (IM/SC, sol 1:1000): Adultos 0.3-0.5 mg; Niños 0.01 mg/kg (máx 0.3-0.5mg). Paro cardíaco (IV/IO): Adultos 1 mg.",Anafilaxia: repetir c/5-15 min PRN. Paro: c/3-5 min,Anafilaxia: según respuesta; Paro: guiado por protocolo ACLS/PALS,IM SC IV IO Inhalatoria,"Shock anafiláctico, paro cardíaco, broncoespasmo agudo severo, coadyuvante anestesia local","Ansiedad, temblor, cefalea, palpitaciones, taquicardia, HTA, arritmias, isquemia miocárdica","Hipersensibilidad (relativa en emergencia), glaucoma ángulo cerrado, shock (no anafiláctico/cardiogénico), anestesia con halotano, parto (puede retrasarlo)"
Albendazol Suspensión,Antihelmíntico,Oxiuros/Áscaris/Anquilostomas/Tricocéfalos: 400 mg dosis única (Adultos/Niños >2a). Estrongiloidiasis/Teniasis: 400 mg/día x 3 días. Neurocisticercosis/Hidatidosis: 15 mg/kg/día (máx 800 mg/día) en 2 dosis.,Dosis única o múltiples días según infección,800 mg/día,Oral,Infecciones por helmintos intestinales y tisulares,"Dolor abdominal, náuseas, cefalea, elevación transaminasas, alopecia (uso prolongado), leucopenia","Hipersensibilidad, embarazo, cisticercosis ocular (relativa)"
Alopurinol,Inhibidor Xantina Oxidasa,100 mg/día; Mantenimiento: 200-600 mg/día. hasta 800-900 mg/día.,1 vez al día (o dividida si >300mg o intolerancia),900 mg/día,Oral,"Hiperuricemia crónica (gota, nefropatía úrica), prevención cálculos CaOx recurrentes (hiperuricosuria), prevención hiperuricemia en quimioterapia","Rash cutáneo (riesgo SJS/TEN, HLA-B*5801), náuseas, diarrea, elevación transaminasas, ataques gota (inicio tto)","Hipersensibilidad, ataque agudo gota (no iniciar), alelo HLA-B*5801 positivo"
Amantadina Clorhidrato,Antiviral Antiparkinsoniano,Parkinson: 100 mg 1-2 veces/día,1-2 veces al día,Parkinson: 400 mg/día; Influenza: 200 mg/día,Oral,Enf. Parkinson. Profilaxis/tto Influenza A,"Mareo, insomnio, ansiedad, náuseas, livedo reticularis, edema periférico, confusión, alucinaciones","Hipersensibilidad, glaucoma ángulo cerrado no tratado, epilepsia no controlada, I.R. grave (ajustar dosis), embarazo, lactancia"
Ambroxol,Mucolítico/Expectorante,Adultos: 30 mg 3 veces/día o 60 mg 2 veces/día.,2-3 veces al día,Adultos: 120 mg/día,Oral Inhalatoria IV IM,"Afecciones respiratorias con secreción mucosa viscosa (bronquitis, EPOC)","Trastornos GI leves (náuseas, diarrea), hipoestesia faríngea/oral; reacciones alérgicas","Hipersensibilidad, primer trimestre embarazo, úlcera péptica (precaución)"
Amfotericina B Desoxicolato,Antifúngico Poliénico,Dosis prueba 1 mg IV; Dosis usual: 0.25-1 mg/kg/día,Una vez al día (infusión IV lenta 2-6h),1.5 mg/kg/día,IV,"Infecciones fúngicas sistémicas graves (Candida, Aspergillus, Cryptococcus, Histoplasma, etc.)","Reacciones infusionales (fiebre, escalofríos), nefrotoxicidad, hipokalemia, hipomagnesemia, anemia, flebitis","Hipersensibilidad (relativa en infecciones graves), I.R. preexistente severa (sopesar riesgo/beneficio)"
Aminofilina Inyectable,Broncodilatador Xantínico,Carga IV: 5-6 mg/kg en 20-30 min. Mantenimiento IV: 0.4-0.9 mg/kg/h,Infusión continua o dosis intermitentes (IV),Niveles teofilina terapéuticos: 10-20 mcg/mL,IV,"Asma bronquial, broncoespasmo en EPOC, apnea neonatal","Náuseas, vómitos, cefalea, insomnio, taquicardia, arritmias, convulsiones (niveles tóxicos)","Hipersensibilidad a xantinas, úlcera péptica activa, trastornos convulsivos no controlados, arritmias cardíacas (precaución)"
Amiodarona Clorhidrato,Antiarrítmico Clase III,"Oral: Carga 600-1200 mg/día (1-2 sem); Mant: 100-400 mg/día. IV: Carga 150 mg/10 min, luego 1 mg/min x6h, luego 0.5 mg/min.",Oral: 1-2 veces/día; IV: infusión,Oral: Mantenimiento ≤400 mg/día; IV: según protocolo,Oral IV,Arritmias ventriculares y supraventriculares graves refractarias,"Toxicidad pulmonar/hepática/tiroidea, fotosensibilidad, microdepósitos corneales, neuropatía, bradicardia, prolongación QT","Hipersensibilidad a iodo/amiodarona, bradicardia sinusal, bloqueo AV (sin marcapasos), shock cardiogénico, disfunción tiroidea manifiesta, embarazo, lactancia"
Amitriptilina Clorhidrato,Antidepresivo Tricíclico,"Depresión: 25-75 mg/día, hasta 150-300 mg/día. Dolor neuropático: 10-75 mg/día",1 vez/día o dividida,Depresión: 300 mg/día; Dolor: 150 mg/día,Oral,"Depresión mayor, dolor neuropático, profilaxis migraña, enuresis nocturna (>6 años)","Boca seca, somnolencia, mareo, visión borrosa, estreñimiento, retención urinaria, aumento peso, hipotensión ortostática","Hipersensibilidad a tricíclicos, IAM reciente, arritmias, manía, IMAO (últimos 14 días), glaucoma ángulo cerrado, I.H. grave"
Amlodipino,Antihipertensivo/Calcioantagonista,HTA/Angina: Inicial 2.5-5 mg; Mantenimiento: 5-10 mg.,Una vez al día,10 mg/día,Oral,"Hipertensión arterial, angina crónica estable, angina vasoespástica","Edema periférico, cefalea, mareo, fatiga, flushing, palpitaciones","Hipersensibilidad a dihidropiridinas, hipotensión severa, shock cardiogénico, estenosis aórtica severa"
Atorvastatina Cálcica,Estatina,10-80 mg,Una vez al día,80 mg/día,Oral,"Hipercolesterolemia, dislipidemia mixta, prevención cardiovascular","Mialgia, artralgia, diarrea, náuseas, elevación transaminasas; raro: miopatía, rabdomiólisis","Hipersensibilidad, enf. hepática activa, elevación persistente transaminasas, embarazo, lactancia, inhibidores potentes CYP3A4 (con dosis altas atorva)"
Atropina Sulfato,Anticolinérgico/Antimuscarínico,"Bradicardia (IV): 0.5-1 mg, repetir c/3-5 min (máx 3mg). Preanestesia (IM/SC/IV): 0.2-0.6 mg. Antídoto organofosforados (IV/IM): 1-2 mg o más, repetir.",Variable según indicación,Bradicardia: 3 mg (total); Antídoto: dosis altas pueden ser necesarias,IV IM SC Oftálmica,"Bradicardia sintomática, asistolia, bloqueo AV, premedicación anestésica, midriasis/cicloplejia, antídoto intoxicaciones","Boca seca, visión borrosa, fotofobia, taquicardia, retención urinaria, estreñimiento, confusión, delirio","Hipersensibilidad, glaucoma ángulo cerrado, obstrucción GI/urinaria, íleo paralítico, colitis ulcerosa severa, miastenia gravis (salvo uso específico)"
Azatioprina Sódica,Inmunosupresor Antimetabolito,Trasplantes: Carga 1-3 mg/kg/día; Mant: 1-2.5 mg/kg/día. Enf. Autoinmunes: 1-3 mg/kg/día.,Una vez al día,3 mg/kg/día,Oral IV,"Profilaxis rechazo trasplantes, enf. autoinmunes graves (AR, LES, EII)","Leucopenia, trombocitopenia, anemia, náuseas, vómitos, infecciones, hepatotoxicidad, pancreatitis, riesgo neoplasias","Hipersensibilidad, embarazo (evaluar riesgo/beneficio), lactancia, deficiencia TPMT (reducir dosis), I.H./I.R. severa (ajustar)"
Bezafibrato,Fibrato,200 mg - 400 mg,3 veces/día; 1 vez/día,600 mg/día; 400 mg/día,Oral,Hiperlipidemias,"Trastornos GI, mialgia, cefalea, mareo, rash, elevación transaminasas/CPK; raro: miopatía, rabdomiólisis, litiasis biliar","Hipersensibilidad a fibratos, I.H./I.R. grave, enf. vesicular, fototoxicidad a fibratos, uso concomitante con algunas estatinas (precaución)"
Bicarbonato de Sodio,Alcalinizante Antiácido,Antiácido: 0.5-2 g. Acidosis metabólica (IV): Individualizada (ej. mEq = déficit base x 0.3 x kg).,Antiácido: PRN; IV: según necesidad y pH,Antiácido: 8 g/día; IV: guiado por pH y electrolitos,Oral IV,"Acidosis metabólica, alcalinización urinaria, antiácido","Alcalosis metabólica, distensión gástrica, edema, hipopotasemia, sobrecarga Na+","Hipersensibilidad, alcalosis metabólica/respiratoria, hipocalcemia, hipoclorhidria, retención Na+ (ICC, cirrosis, HTA), I.R. (precaución)"
Biperideno,Anticolinérgico Antiparkinsoniano,"Parkinsonismo (oral): Inicial 1 mg 1-2 v/d, aumentar a 2 mg 3-4 v/d. Extrapiramidalismo (oral): 2 mg 1-3 v/d; (IM/IV lenta): 2.5-5 mg.",Oral: 2-4 veces/día; IM/IV: PRN,Oral: 16 mg/día; Parenteral: 20 mg/día,Oral IM IV,"Sdr. Parkinson, síntomas extrapiramidales inducidos por neurolépticos","Boca seca, visión borrosa, mareo, somnolencia, confusión, estreñimiento, retención urinaria, taquicardia","Hipersensibilidad, glaucoma ángulo cerrado, megacolon, íleo paralítico, obstrucción GI/urinaria, miastenia gravis, discinesia tardía"
Bisoprolol Hemifumarato,Antihipertensivo Betabloqueante Selectivo β1,"HTA/Angina: 2.5-10 mg. ICC estable: Inicial 1.25 mg, titular gradualmente.",Una vez al día,HTA/Angina: 20 mg/día; ICC: 10 mg/día,Oral,"HTA, angina crónica estable, ICC estable (con FEVI reducida)","Bradicardia, hipotensión, fatiga, mareo, cefalea, extremidades frías, trastornos GI, disnea (en susceptibles)","Hipersensibilidad, IC aguda/descompensada, shock cardiogénico, bloqueo AV 2º-3º grado (sin marcapasos), bradicardia/hipotensión severas, asma/EPOC graves"
Bromazepam,Ansiolítico Benzodiazepina,1.5-3 mg; Casos graves: 6-12 mg,2-3 veces al día,Ambulatorio: 18 mg/día; Hospital: 60 mg/día,Oral,"Ansiedad, tensión emocional, nerviosismo, insomnio ansioso","Somnolencia, embotamiento afectivo, confusión, fatiga, cefalea, mareo, debilidad muscular, ataxia","Hipersensibilidad a benzodiazepinas, miastenia gravis, insuf. respiratoria severa, apnea sueño, I.H. severa, glaucoma ángulo cerrado"
Bromuro de Pinaverio,Antiespasmódico GI,50-100 mg,3 veces/día,300 mg/día,Oral,"Síndrome intestino irritable, trastornos funcionales GI, preparación enema bario","Trastornos GI leves (dispepsia, náuseas, estreñimiento), cefalea, mareo; irritación esofágica (tomar con agua, erguido)","Hipersensibilidad, atonía intestinal, íleo paralítico, megacolon tóxico"
Budesonida Inhalada,Corticosteroide Inhalado,Asma: Adultos 200-1600 mcg/día; Niños 100-800 mcg/día. EPOC: 400 mcg 2 veces/día.,1-2 veces al día,Asma adultos: 1600 mcg/día; EPOC: 800 mcg/día,Inhalatoria (polvo seco o suspensión nebulizar),"Asma persistente (control), EPOC (algunos pacientes)","Candidiasis orofaríngea, disfonía, tos, irritación garganta; raro: efectos sistémicos (dosis altas)","Hipersensibilidad, estado asmático/episodios agudos asma (no para rescate primario)"
Cabergolina,Agonista Dopaminérgico Inhibidor Prolactina,Hiperprolactinemia: Inicial 0.25-0.5 mg/semana (1-2 tomas); Mant: 0.5-2 mg/semana. Supresión lactancia: 1 mg dosis única.,1-2 veces/semana (hiperprolactinemia),Hiperprolactinemia: 4.5 mg/semana,Oral,"Hiperprolactinemia (amenorrea, galactorrea), inhibición/supresión lactancia, adenomas hipofisarios prolactinoma. Coadyuvante Parkinson.","Náuseas, cefalea, mareo, vértigo, dolor abdominal, fatiga, hipotensión ortostática; raro: valvulopatía, fibrosis (uso crónico/dosis altas)","Hipersensibilidad a ergotamínicos, HTA no controlada, fibrosis pulmonar/pericárdica/retroperitoneal previa, valvulopatía cardíaca (tto prolongado)"
Calcipotriol,Análogo Vitamina D (tópico),Aplicar capa fina (crema/pomada/solución 50 mcg/g),1-2 veces al día,100 g/semana (crema/pomada); 60 mL/semana (solución cuero cabelludo),Tópico,Psoriasis vulgaris (leve-moderada),"Irritación cutánea local (prurito, eritema, ardor), sequedad piel; raro: hipercalcemia","Hipersensibilidad, trastornos metabolismo calcio, psoriasis eritrodérmica/exfoliativa/pustulosa, I.R./I.H. graves (precaución)"
Captopril,Antihipertensivo IECA,HTA: 12.5-25 mg; hasta 50-150 mg/día. ICC: Inicial 6.25-12.5 mg; Mant: 75-150 mg/día. IAM: Iniciar 6.25 mg.,2-3 veces al día,HTA/ICC: 150 mg/día,Oral,"HTA, ICC, post-IAM (disfunción VI), nefropatía diabética","Tos seca, hipotensión, mareo, rash, disgeusia, hiperpotasemia, angioedema","Hipersensibilidad a IECA, angioedema previo por IECA, 2º-3er trimestre embarazo, uso con aliskireno en diabéticos/I.R., estenosis bilateral arteria renal"
Carbamazepina,Anticonvulsivo,Epilepsia/Manía: 100-200 mg 1-2 v/d; Mant: 800-1200 mg/día. Neuralgia Trigémino: Inicial 100 mg 2 v/d; Mant: 400-800 mg/día.,2-4 veces/día (IR); 1-2 veces/día (XR/CR),Epilepsia: 1600 mg/día (adultos); Neuralgia: 1200 mg/día,Oral (liberación inmediata IR / prolongada XR/CR),"Epilepsia, neuralgia trigémino/glosofaríngea, T. Bipolar (manía, profilaxis), sdr. abstinencia alcohólica","Mareo, somnolencia, ataxia, náuseas, vómitos, rash (riesgo SJS/TEN, HLA-B*1502), leucopenia, hiponatremia","Hipersensibilidad a carbamazepina/tricíclicos, bloqueo AV, depresión médula ósea previa, porfiria, IMAO (últimos 14 días)"
Carbidopa/Levodopa,Antiparkinsoniano,Proporción Carbidopa:Levodopa (1:10 o 1:4). Ej: Levodopa inicial 100-300 mg/día.,3-4 veces al día (o más frecuente),Levodopa: usualmente ≤1000-1500 mg/día (en combinación),Oral,"Enfermedad de Parkinson, parkinsonismo post-encefalítico/sintomático","Discinesias, fluctuaciones motoras, náuseas, vómitos, hipotensión ortostática, arritmias, confusión, alucinaciones","Hipersensibilidad, glaucoma ángulo cerrado, melanoma maligno/lesiones cutáneas sospechosas, IMAO no selectivos (últimos 14 días)"
Cefotaxima Sódica,Antibiótico Cefalosporina 3ª Gen,Adultos: 1-2 g; Infecciones graves: hasta 12 g/día divididos.,Cada 6-12 horas (infecciones moderadas); Cada 4-8 horas (graves),12 g/día,IV IM,"Infecciones bacterianas graves (respiratorias, urinarias, piel, intraabdominales, óseas, meningitis, septicemia) por gérmenes sensibles","Reacciones alérgicas (rash, anafilaxia), dolor sitio inyección, flebitis, diarrea, náuseas, eosinofilia, neutropenia",Hipersensibilidad a cefalosporinas; precaución en alergia a penicilinas
Ceftriaxona Sódica,Antibiótico Cefalosporina 3ª Gen,Adultos: 1-2 g; Infecciones graves: hasta 4 g/día.,Cada 12-24 horas,4 g/día,IV IM,"Infecciones bacterianas graves, gonorrea, enf. Lyme, profilaxis quirúrgica","Similares a cefotaxima; adicional: barro biliar/pseudolitiasis, precipitación IV con calcio en neonatos",Hipersensibilidad a cefalosporinas; contraindicada neonatos hiperbilirrubinémicos o que requieran calcio IV
Celecoxib,AINE / Inhibidor COX-2,Osteoartritis: 200 mg/día. Artritis Reumatoide: 100-200 mg. Dolor agudo/Dismenorrea: Inicial 400 mg,1-2 veces al día,400 mg/día (AR/Dolor agudo); 200 mg/día (OA),Oral,"Osteoartritis, artritis reumatoide, espondilitis anquilosante, dolor agudo, dismenorrea","Dolor abdominal, diarrea, dispepsia, HTA, edema periférico; riesgo cardiovascular (IAM, ACV)","Hipersensibilidad a celecoxib/sulfonamidas/AINEs, úlcera/sangrado GI activo, EII, I.H./I.R. grave, IC (NYHA II-IV), cardiopatía isquémica, enf. cerebrovascular, último trimestre embarazo"
Cetirizina Diclorhidrato,Antihistamínico H1 2ª Gen,Adultos y niños >6 años: 5-10 mg.,Una vez al día,10 mg/día,Oral,"Rinitis alérgica estacional/perenne, urticaria crónica idiopática","Somnolencia (leve), boca seca, fatiga, cefalea","Hipersensibilidad a cetirizina/hidroxizina/piperazinas, I.R. grave (ClCr <10 mL/min)"
Ciclosporina Oral,Inmunosupresor / Inhibidor Calcineurina,Trasplante: Inicial 10-15 mg/kg/día; Mant: 2-6 mg/kg/día. Enf. Autoinmunes: 2.5-5 mg/kg/día.,2 veces al día,Individualizada (según niveles sanguíneos y respuesta clínica),Oral,"Profilaxis rechazo trasplante órganos; Enf. autoinmunes graves (AR, psoriasis, sdr. nefrótico, uveítis)","Nefrotoxicidad, HTA, neurotoxicidad, hiperplasia gingival, hirsutismo, hiperlipidemia, hiperglucemia, riesgo infecciones/neoplasias","Hipersensibilidad, HTA no controlada (no trasplante), I.R. (no sdr. nefrótico), infecciones no controladas, neoplasias activas, uso con tacrolimus/bosentan/dabigatran/Hypericum"
Cinarizina,Antihistamínico H1 1ª Gen,Trast. vestibulares: 15-30 mg. Trast. circulatorios periféricos/Cinetosis: 25-75 mg.,2-3 veces al día,Vestibulares: 90 mg/día; Circulatorios/Cinetosis: 225 mg/día,Oral,"Trastornos equilibrio (vértigo, Ménière), profilaxis cinetosis, trastornos circulatorios periféricos","Somnolencia, sedación, trastornos GI, aumento peso; raro: síntomas extrapiramidales (ancianos, tto prolongado)","Hipersensibilidad, porfiria, enf. Parkinson (relativa)"
Ciprofibrato,Fibrato,100 mg,Una vez al día,200 mg/día,Oral,Hiperlipidemias primarias,"Trastornos GI, mialgia, cefalea, mareo, rash, fotosensibilidad, elevación transaminasas/CPK; raro: miopatía, rabdomiólisis","Hipersensibilidad a fibratos, I.H. grave, I.R. grave (ClCr <30 mL/min), enf. vesicular, embarazo, lactancia"
Cisplatino,Agente Antineoplásico,Según protocolo: ej. 50-120 mg/m² cada 3-4 sem; o 15-20 mg/m²/día x5 días c/3-4 sem.,Infusión IV (variable según ciclo),Dosis acumulada máx ~700-800 mg/m² (por nefro/neurotoxicidad),IV,"Cáncer testicular, ovárico, vejiga, cabeza/cuello, pulmón, etc.","Nefrotoxicidad, ototoxicidad, neurotoxicidad periférica, náuseas/vómitos intensos, mielosupresión, hipomagnesemia","Hipersensibilidad a platino, I.R. preexistente significativa, supresión medular severa, neuropatía/ototoxicidad severas preexistentes, embarazo, lactancia"
Citalopram,Antidepresivo / ISRS,Adultos: Inicial 20 mg/día; Mantenimiento 20-40 mg/día,Una vez al día,40 mg/día (Adultos); 20 mg/día (>65 años),Oral,Depresión mayor - Trastorno de pánico - Trastorno obsesivo-compulsivo (TOC),"Náuseas, boca seca, somnolencia, insomnio, sudoración, temblor, diarrea, disfunción sexual, prolongación QT","Hipersensibilidad, uso concomitante con IMAO/pimozida/linezolid, prolongación QT congénita, hipokalemia/hipomagnesemia no corregidas"
Clindamicina Clorhidrato,Antibiótico / Lincosamida,Oral: Adultos 150-450 mg; Niños 8-25 mg/kg/día. IV/IM: Adultos 600-2700 mg/día; Niños 20-40 mg/kg/día. Tópico: Aplicar capa fina.,Oral: cada 6-8h; IV/IM: cada 6-12h; Tópico: 1-2 veces/día,Oral: 1.8 g/día; IV: 4.8 g/día,Oral IV IM Tópica Vaginal,Infecciones bacterianas graves por anaerobios/cocos Gram+; Acné vulgar (tópico); Vaginosis bacteriana (vaginal),"Diarrea (riesgo colitis pseudomembranosa por C. difficile), náuseas, vómitos, dolor abdominal, rash, ictericia","Hipersensibilidad, antecedentes de colitis asociada a antibióticos"
Clobetasol Propionato Tópico,Corticosteroide Tópico,Crema/Ungüento/Solución/Espuma 0.05%,1-2 veces al día (capa fina),50 g/semana por 2-4 semanas consecutivas,Tópico,Dermatosis inflamatorias severas que no responden a corticoides menos potentes (psoriasis recalcitrante - eccema severo - liquen plano),"Ardor, picazón, irritación, sequedad local; uso prolongado: atrofia cutánea, estrías, telangiectasias, supresión eje HHA","Hipersensibilidad, rosácea, acné vulgar, dermatitis perioral, infecciones cutáneas primarias (bacterianas - fúngicas - virales), niños <1 año"
Clomipramina,Antidepresivo Tricíclico / ISRSN,"Oral: Depresión/TOC: Inicial 25 mg/día, hasta 100-250 mg/día. IV/IM: Inicial 25-50 mg.",Oral: 1-3 veces/día o dosis única nocturna; IV/IM: según protocolo,Oral: 250-300 mg/día,Oral IV IM,Depresión - Trastorno obsesivo-compulsivo (TOC) - Ataques de pánico - Fobias - Dolor crónico - Enuresis nocturna (>5 años),"Boca seca, somnolencia, mareo, visión borrosa, estreñimiento, retención urinaria, sudoración, temblor, hipotensión ortostática, disfunción sexual","Hipersensibilidad a tricíclicos, IAM reciente, arritmias, manía, IMAO (últimos 14 días), glaucoma ángulo cerrado"
Clonazepam,Benzodiazepina,Epilepsia: Adultos ≤1.5 mg/día; Niños ≤0.05 mg/kg/día. Pánico: Adultos Inicial 0.25 mg 2v/d. Status (IV): Adultos 1mg; Niños 0.5mg.,Oral: 2-3 veces/día; IV: según necesidad,Epilepsia (Adultos): 20 mg/día; Pánico: 4 mg/día,Oral IV IM,Epilepsia (ausencias - mioclónicas - acinéticas - Lennox-Gastaut) - Trastorno de pánico - Status epilepticus (IV),"Somnolencia, ataxia, mareo, alteraciones comportamiento, hipersalivación, depresión respiratoria (IV/dosis altas)","Hipersensibilidad a benzodiazepinas, miastenia gravis, insuf. respiratoria severa, apnea sueño, glaucoma ángulo cerrado, I.H. severa"
