name,drug_type,drug.standard_dose,drug.dose_frequency,drug.max_dose,drug.administration_route,drug.drug_use,drug.adverse_effects,drug.contraindications,drug.pediatric,full_safety_text,cat_pregnancy,cat_lactation,cat_liver,cat_kidney
Bumetanida,Diurético de asa,0.015 - 0.1 mg/kg/dosis,c/6 - 12 h - 24 h,10 mg/día,VO / IV / IM,Edema / Insuficiencia cardíaca,"Emb: C / D

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C / D

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
"Bupivacaína, clorhidrato",Anestésico local,1 - 3.7 mg/kg,Según procedimiento,No especificado,Infiltración / Epidural,Anestesia local o regional,"Emb: C

Lact: Seguro (A)","Hígado: Precaución (C)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Precaución (C)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),,No requiere ajuste
"Buprenorfina, clorhidrato",Analgésico narcótico (Opioide),2 - 6 µg/kg,c/4 - 6 h,No especificado,IM / IV / Sublingual,Dolor moderado a severo,"Emb: C

Lact: Precaución (C)","Hígado: Precaución (C)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (C) | Hígado: Precaución (C)

Riñón: Seguro (A)",Restringido (C),Contraindicado,,No requiere ajuste
"Bupropión, clorhidrato",Antidepresivo,"<15 años: 300 - 450 mg/día

>15 años: 150 mg/dosis",c/12 h,450 mg/día,VO (Oral),Depresión / TDAH,"Emb: B

Lact: Precaución (B)","Hígado: Precaución (B)

Riñón: Evitar (X)",yes,"Emb: B

Lact: Precaución (B) | Hígado: Precaución (B)

Riñón: Evitar (X)",Aceptado (B),Precaución,,Evitar su uso
Burosumab,Anticuerpo monoclonal,"<10 kg: 1 mg/kg

>10 kg: 0.8 mg/kg",Cada 2 semanas,No especificado,SC (Subcutánea),Raquitismo hipofosfatémico,"Emb: B / C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B / C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Precaución,No requiere ajuste,No requiere ajuste
"Buspirona, clorhidrato",Ansiolítico,"6-14 años: 5 mg/día

>15 años: 7.5 mg/dosis",c/12 h,60 mg/día,VO (Oral),Ansiedad generalizada,"Emb: B

Lact: Precaución (C)","Hígado: Precaución (B)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Precaución (C) | Hígado: Precaución (B)

Riñón: Seguro (A)",Aceptado (B),Contraindicado,,No requiere ajuste
Busulfano,Antineoplásico (Alquilante),0.06 - 0.12 mg/kg/día (o 1.8 - 4.6 mg/m²),Dosis única diaria,No especificado,VO (Oral),Leucemia mieloide crónica,"Emb: D (Riesgo)

Lact: Precaución (C)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: D (Riesgo)

Lact: Precaución (C) | Hígado: Seguro (A)

Riñón: Seguro (A)",Riesgo (D),Contraindicado,No requiere ajuste,No requiere ajuste
Butilacetilaminopropionato,Repelente de insectos,Aplicar cada 4 horas en zonas expuestas,Cada 4 horas,No especificado,Tópico,Prevención picaduras insectos,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Cafeína, citrato",Estimulante SNC,"Carga: 20 mg/kg

Mant: 5 mg/kg/día",c/24 h (iniciar 24h post carga),No especificado,IV / VO,Apnea del prematuro,"Emb: B/C

Lact: Seguro (A)","Hígado: Intervalo (I)

Riñón: Seguro (A)",yes,"Emb: B/C

Lact: Seguro (A) | Hígado: Intervalo (I)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),,No requiere ajuste
Cafeína / Acetaminofén,Analgésico potenciado,Adultos: 1 - 2 tabletas,c/6 a 8 h,No especificado,VO (Oral),Dolor moderado,"Emb: B

Lact: Seguro (A)","Hígado: Intervalo (I)

Riñón: Evitar (X)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Intervalo (I)

Riñón: Evitar (X)",Aceptado (B),Seguro (Compatible),,Evitar su uso
Cafeína / Ácido acetilsalicílico,Analgésico potenciado,Adultos: 1 tableta,c/4 - 6 h,No especificado,VO (Oral),Dolor / Cefalea,"Emb: C/D

Lact: Precaución (C)","Hígado: Intervalo (I)

Riñón: Evitar (X)",yes,"Emb: C/D

Lact: Precaución (C) | Hígado: Intervalo (I)

Riñón: Evitar (X)",Restringido (C),Contraindicado,,Evitar su uso
Calamina,Antipruriginoso / Protector,Aplicar tópicamente,3 - 4 veces al día,No especificado,Tópico,Prurito / Irritación piel,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Calcio, carbonato",Antiácido / Suplemento,"2-5 años:400 mg (D. máx 1.2g)

6-11 años:800 mg (D. máx 2.4g)",c/6 h (Antiácido),2.400 mg/día (según edad),VO (Oral),Acidez / Suplemento calcio,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
"Calcio, caseinato",Complemento nutricional,"Lactantes: 2 g

Niños: 3 g (3 veces al día)",3 veces al día,No especificado,VO (Oral),Deficiencia nutricional / Dieta,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Calcio, cloruro",Electrolito,20 mg/kg/dosis(0.2 ml/kg),c/10 años a 20 seg (?),100 mg/min (infusión),IV,Hipocalcemia aguda / Paro,"Emb: C

Lact: Precaución (B)","Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",Restringido (C),Precaución,,No requiere ajuste
"Calcio, fosfato tribásico",Suplemento de calcio,"Lactantes:1-2 ml/día

Niños: 45-65 mg/kg/día","c/24 h

Dividido c/6-8h",No especificado,VO (Oral),Hipocalcemia / Suplemento,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
"Calcio, glubionato",Electrolito / Suplemento,"RN: 1.200 mg/kg/día

Niños: 600 - 2.000 mg/kg/día",c/4 - 6 h,No especificado,VO (Oral),Hipocalcemia asintomática,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
"Calcio, gluconato",Electrolito / Suplemento,"RN: 500-1.500 mg/kg/día

Niños: 500-725 mg/kg/día","c/4 - 6 h (VO)

c/6 - 8 h (IV)",No especificado,VO / IV,Hipocalcemia / Tetania,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Calcipotriol (Calcipotrieno),Antipsoriásico (Vit D),Aplicar una vez al día,1 vez al día,50 µg/g / 30 g semana (adultos),Tópico,Psoriasis,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Calcipotriol / Betametasona,Antipsoriásico / Corticoide,Aplicar una vez al día,1 vez al día,No especificado,Tópico,Psoriasis en placas,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Calcitriol,Vitamina D3 activa,"Prematuros:1 µg/día

<5 años:0.25 - 0.75 µg/día",1 vez al día (o IV c/2 sem),No especificado,VO / IV,Hipocalcemia / Osteodistrofia renal,"Emb: C / D

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C / D

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Captopril,Antihipertensivo (IECA),"Neonatos:0.05 - 0.1 mg/kg/dosis

Lactantes:0.15 - 0.3 mg/kg/dosis","c/8 - 24 h (Neonatos)

c/6 - 24 h (Lact)",6 mg/kg/día,VO (Oral),Hipertensión / Insuficiencia cardíaca,"Emb: C / D (Riesgo)

Lact: Precaución (B)","Hígado: Precaución (D/I)

Riñón: Evitar (X)",yes,"Emb: C / D (Riesgo)

Lact: Precaución (B) | Hígado: Precaución (D/I)

Riñón: Evitar (X)",Restringido (C),Precaución,,Evitar su uso
Carbamazepina (CBZ),Anticonvulsivante,10 - 20 mg/kg/día,c/8 h,35 mg/kg/día (o 1000 mg),VO (Oral),Epilepsia / Dolor neuropático,"Emb: D (Riesgo)

Lact: Seguro (A)","Hígado: Precaución (D)

Riñón: Intervalo (I)",yes,"Emb: D (Riesgo)

Lact: Seguro (A) | Hígado: Precaución (D)

Riñón: Intervalo (I)",Riesgo (D),Seguro (Compatible),,Intervalo entre dosis debe prolongarse
Carbenicilina,Antibiótico (Penicilina),400 - 600 mg/kg/día,c/4 h - 6 h,40 g/día,IV / IM,Infecciones Pseudomonas / Proteus,"Emb: B

Lact: Seguro (A)","Hígado: Intervalo (I)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Intervalo (I)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),,No requiere ajuste
Carbocisteína,Mucolítico,"2-5 años:1.25 - 2.5 ml

5-12 años: 5 ml",c/12 h,No especificado,VO (Oral),Secreciones bronquiales,"Emb: B

Lact: Precaución (B)","Hígado: Precaución (D)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Precaución (B) | Hígado: Precaución (D)

Riñón: Seguro (A)",Aceptado (B),Precaución,,No requiere ajuste
Carboximetilcelulosa sódica,Lubricante ocular,1 ó 2 gotasen cada ojo,Según necesidad,No especificado,Oftálmica,Ojo seco,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Carboplatino,Antineoplásico,300 - 400 mg/m²,c/4 semanas,No especificado,IV,Tumores sólidos / SNC,"Emb: D (Riesgo)

Lact: Precaución (C)","Hígado: Reducir Dosis (D)

Riñón: Evitar (X)",yes,"Emb: D (Riesgo)

Lact: Precaución (C) | Hígado: Reducir Dosis (D)

Riñón: Evitar (X)",Riesgo (D),Contraindicado,,Evitar su uso
Carbón activado,Antídoto absorbente,1 - 2 g/kg(25 a 50 g),Dosis única (Repetir c/2-4h si indicado),50 g (niños),VO (Oral),Intoxicaciones agudas,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Carbohidratos,Suplemento oral,Volumen por porción 237 ml,Según tolerancia,No especificado,VO (Oral),Intolerancia a la glucosa,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Carmustina,Antineoplásico (Alquilante),200 - 250 mg/m²,c/4 - 6 semanas,No especificado,IV,Tumores cerebrales / Linfomas,"Emb: D (Riesgo)

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: D (Riesgo)

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Riesgo (D),Precaución,No requiere ajuste,No requiere ajuste
Carvedilol,Bloqueador adrenérgico (Beta/Alfa),0.05 - 0.2 mg/kg/día,c/12 - 24 h,50 mg/día,VO (Oral),Insuficiencia cardíaca / Hipertensión,"Emb: C

Lact: Precaución (B*)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B*) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Usar con reserva (Sin datos),No requiere ajuste,No requiere ajuste
Cáscara sagrada,Laxante estimulante,"Lactantes:1.25 ml

2-11 años:2.5 ml",1 a 3 veces al día,No especificado,VO (Oral),Estreñimiento,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Caspofungina,Antimicótico (Equinocandina),"Carga: 70 mg/m²

Mant: 50 mg/m²/día",c/24 h,70 mg/día,IV,Aspergilosis / Candidiasis invasiva,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Cefaclor,Antibiótico (Cefalosporina 2ª),20 - 40 mg/kg/día,c/8 - 12 h,2 g/día,VO (Oral),OMA / ITRS / Infecciones piel,"Emb: B

Lact: Seguro (A)","Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),,No requiere ajuste
Cefadroxilo,Antibiótico (Cefalosporina 1ª),30 mg/kg/día,c/12 h,2 g/día,VO (Oral),Faringoamigdalitis / Infecciones piel,"Emb: B

Lact: Seguro (A)","Hígado: Intervalo (I)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Intervalo (I)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),,No requiere ajuste
Cefalexina,Antibiótico (Cefalosporina 1ª),25 - 50 mg/kg/día(Severa: 100),c/6 - 8 h,4 g/día,VO (Oral),Infecciones piel / ITU / OMA,"Emb: B

Lact: Seguro (A)","Hígado: Intervalo (I)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Intervalo (I)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),,No requiere ajuste
Cefalotina,Antibiótico (Cefalosporina 1ª),80 - 160 mg/kg/día,c/4 - 6 h,12 g/día,IV / IM,Infecciones sistémicas,"Emb: B

Lact: Seguro (A)","Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),,No requiere ajuste
Cefamandol,Antibiótico (Cefalosporina 2ª),50 - 150 mg/kg/día,c/4 - 6 h,12 g/día,IV / IM,Infecciones respiratorias / Piel,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Intervalo entre dosis debe prolongarse
Cefapirina,Antibiótico (Cefalosporina 1ª),40 - 50 mg/kg/día,c/12 h,No especificado,IV / IM,Infecciones susceptibles,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Cefazolina,Antibiótico (Cefalosporina 1ª),25 - 50 mg/kg/día(Severa: 100),c/6 - 8 h,6 g/día,IV / IM,Profilaxis quirúrgica / Infecciones,"Emb: B

Lact: Seguro (A)","Hígado: Intervalo (I)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Intervalo (I)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),,No requiere ajuste
Cefalotina,Antibiótico (Cefalosporina 1ª),80 - 160 mg/kg/día,c/4 - 6 h,12 g/día,IV / IM,Infecciones sistémicas,"Emb: B

Lact: Seguro (A)","Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),,No requiere ajuste
Cefamandol,Antibiótico (Cefalosporina 2ª),50 - 150 mg/kg/día,c/4 - 6 h,12 g/día,IV / IM,Infecciones respiratorias / Piel / Oseas,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Intervalo entre dosis debe prolongarse
Cefapirina,Antibiótico (Cefalosporina 1ª),"40 - 50 mg/kg/día(Neonatos)

RNAT: 50-60 mg/kg/día","c/12 h (RNPT)

c/8 h (RNAT)",No especificado,IV / IM,Sepsis / Infecciones susceptibles,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Intervalo entre dosis debe prolongarse
Cefdinir,Antibiótico (Cefalosporina 3ª),14 mg/kg/día,c/12 - 24 h,600 mg/día,VO (Oral),OMA / Sinusitis / Faringitis,"Emb: B

Lact: Seguro (D)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: B

Lact: Seguro (D) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Intervalo entre dosis debe prolongarse
Cefepima,Antibiótico (Cefalosporina 4ª),"100 - 150 mg/kg/día

Neutropenia Febril: 150 mg/kg/día (50 mg/kg c/8h)",c/8 - 12 h,6 g/día,IV / IM,Infecciones severas / Neutropenia febril,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Intervalo entre dosis debe prolongarse
"Cefixima, trihidrato",Antibiótico (Cefalosporina 3ª),8 mg/kg/día,c/12 - 24 h,400 mg/día,VO (Oral),ITRS / ITU / Gonorrea,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Intervalo entre dosis debe prolongarse
Cefodizima,Antibiótico (Cefalosporina 3ª),60 - 100 mg/kg/día,c/12 - 24 h,4 g/día,IV / IM,Infecciones tracto respiratorio / Urinario,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Intervalo entre dosis debe prolongarse
Cefoperazona,Antibiótico (Cefalosporina 3ª),50 - 200 mg/kg/día,c/8 - 12 h,12 g/día,IV / IM,Infecciones severas / Biliares,"Emb: B

Lact: Seguro (A)","Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),,No requiere ajuste
Cefoperazona / Sulbactam,Antibiótico + Inhibidor Betalactamasa,40 - 80 mg/kg/día,c/6 - 12 h,No especificado,IV / IM,Infecciones polimicrobianas,"Emb: B

Lact: Seguro (A)","Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),,No requiere ajuste
Cefotetan sódico,Antibiótico (Cefalosporina 2ª),40 - 80 mg/kg/día,c/12 h,6 g/día,IV / IM,Infecciones intraabdominales / Pélvicas,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Intervalo entre dosis debe prolongarse
Cefoxitina sódica,Antibiótico (Cefalosporina 2ª),80 - 160 mg/kg/día(Graves),c/4 - 6 h,12 g/día,IV / IM,Infecciones anaerobias / Abdominales,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Reducir Dosis (D)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Reducir Dosis (D)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Dosis debe disminuirse
Cefpirome,Antibiótico (Cefalosporina 4ª),30 - 100 mg/kg/día,c/12 h,4 g/día,IV,Infecciones graves / Nosocomiales,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Intervalo entre dosis debe prolongarse
Cefpodoxima proxetil,Antibiótico (Cefalosporina 3ª),6 - 10 mg/kg/día,c/12 h,800 mg/día,VO (Oral),OMA / Sinusitis / Neumonía,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Intervalo entre dosis debe prolongarse
Cefprozil,Antibiótico (Cefalosporina 2ª),15 - 30 mg/kg/día,c/12 h,1 g/día,VO (Oral),Faringoamigdalitis / OMA / Piel,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Intervalo entre dosis debe prolongarse
Cefradina,Antibiótico (Cefalosporina 1ª),25 - 50 mg/kg/día(Severa: 100),c/6 - 12 h,4 g/día,VO / IM / IV,Infecciones piel / Respiratorias,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Intervalo entre dosis debe prolongarse
"Ceftarolina, fosamil",Antibiótico (Cefalosporina 5ª - Anti MRSA),"2m-2a: 8 mg/kg

>2a (<19kg): 12 mg/kg

>2a (>19kg):400-600 mg",c/8 h (c/12h si >33kg),600 mg/dosis,IV,Piel y tejidos blandos / Neumonía (Cubre MRSA),"Emb: B

Lact: Precaución (A)","Hígado: Seguro (A)

Riñón: Reducir Dosis (D)",yes,"Emb: B

Lact: Precaución (A) | Hígado: Seguro (A)

Riñón: Reducir Dosis (D)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Dosis debe disminuirse
Ceftazidima,Antibiótico (Cefalosporina 3ª),"100 - 150 mg/kg/día

Meningitis: 150 mg/kg/día",c/8 h,6 g/día,IV / IM,Infecciones Pseudomonas / Meningitis,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Reducir Dosis (D)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Reducir Dosis (D)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Dosis debe disminuirse
Ceftibuten,Antibiótico (Cefalosporina 3ª),9 mg/kg/día,c/24 h,400 mg/día,VO (Oral),OMA / Faringitis / ITRS,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Intervalo entre dosis debe prolongarse
Ceftizoxima,Antibiótico (Cefalosporina 3ª),150 - 200 mg/kg/día(Graves),c/6 - 8 h,12 g/día,IV / IM,Infecciones graves / Meningitis,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Intervalo entre dosis debe prolongarse
Ceftriaxona sódica,Antibiótico (Cefalosporina 3ª),"Estándar: 50 - 75 mg/kg/día

Meningitis: 80 - 100 mg/kg/día (Máx 4g)

Gonorrea: 1 g IM Dosis única",c/12 - 24 h,4 g/día (Meningitis),IV / IM,Meningitis / Neumonía / Gonorrea,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Cefuroxima, axetil",Antibiótico (Cefalosporina 2ª),"20 - 30 mg/kg/día

Meningitis: 200 - 240 mg/kg/día (IV)","c/12 h (VO)

c/6 - 8 h (IV)","1 g/día (VO)

9 g/día (IV)",VO / IV / IM,OMA / Neumonía / Meningitis,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Intervalo entre dosis debe prolongarse
Celecoxib,Antiinflamatorio (AINE - COX2),"10 - 25 kg: 50 mg/dosis

>25 kg: 100 mg/dosis",c/12 h,400 mg/día,VO (Oral),Artritis Reumatoide Juvenil (>2 años),"Emb: C / D (3º trim)

Lact: Precaución (A)","Hígado: Reducir Dosis (D)

Riñón: Evitar (X)",yes,"Emb: C / D (3º trim)

Lact: Precaución (A) | Hígado: Reducir Dosis (D)

Riñón: Evitar (X)",Restringido (C),Seguro (Compatible),,Evitar su uso
"Celipridinio, cloruro",Antiséptico bucofaríngeo,Dejar disolver 1 tableta en boca,3 a 4 veces al día,No especificado,VO (Local),Afecciones bucofaríngeas,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
